City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
251,Viytivka,48.426,29.5429,57.88,94,73,6.6,UA,2022-05-13 00:45:25
252,Kovalevskoye,45.1942,40.9761,43.57,72,100,9.08,RU,2022-05-13 00:45:26
253,Porto Novo,6.4965,2.6036,82.22,84,85,3.67,BJ,2022-05-13 00:45:26
254,Providencia,28.7167,-111.5833,90.21,25,5,22.7,MX,2022-05-13 00:45:27
255,Monkey Bay,-14.0728,34.9201,69.75,69,0,11.68,MW,2022-05-13 00:45:27
256,Risod,19.9667,76.7833,87.03,43,8,8.41,IN,2022-05-13 00:45:28
257,Tromso,69.6496,18.957,33.82,93,75,3.44,NO,2022-05-13 00:45:29
258,Esso,55.9333,158.7,38.82,100,100,4.23,RU,2022-05-13 00:45:29
259,Marzuq,14.4,46.4667,73.18,26,89,0.67,YE,2022-05-13 00:45:30
260,Barcelos,41.5388,-8.6151,63.91,72,81,2.01,PT,2022-05-13 00:45:15
261,Linxia,35.6003,103.2064,46.67,72,100,6.89,CN,2022-05-13 00:45:31
262,Xuanhua,40.6103,115.0447,52.92,22,0,19.35,CN,2022-05-13 00:45:32
263,Puerto Baquerizo Moreno,-0.9,-89.6,72.01,86,53,8.03,EC,2022-05-13 00:45:33
264,Norman Wells,65.282,-126.8329,60.84,29,40,2.3,CA,2022-05-13 00:45:33
265,Deputatskiy,69.3,139.9,33.1,100,100,6.64,RU,2022-05-13 00:45:34
266,Bafra,41.5678,35.9069,50.83,64,0,6.49,TR,2022-05-13 00:45:34
267,Raudeberg,61.9875,5.1352,43.86,91,100,24.45,NO,2022-05-13 00:45:37
268,Tucumcari,35.1717,-103.725,87.64,2,0,19.57,US,2022-05-13 00:45:38
269,Nangomba,-10.9,38.5,69.55,76,100,2.8,TZ,2022-05-13 00:45:39
270,Bilma,18.6853,12.9164,84.6,14,1,17.16,NE,2022-05-13 00:45:39
271,Ribas Do Rio Pardo,-20.4431,-53.7592,65.39,62,0,5.46,BR,2022-05-13 00:45:40
272,Rio Grande,-32.035,-52.0986,49.95,74,7,7.43,BR,2022-05-13 00:44:46
273,Cidreira,-30.1811,-50.2056,58.01,83,2,5.99,BR,2022-05-13 00:46:41
274,Eurajoki,61.2,21.7333,42.82,90,6,7.47,FI,2022-05-13 00:46:42
275,Brusque,-27.0981,-48.9175,65.97,97,59,1.34,BR,2022-05-13 00:46:43
276,Mukhen,48.1,136.1,53.64,64,71,7.14,RU,2022-05-13 00:46:43
277,Moerai,-22.4333,-151.3333,80.22,78,12,13.98,PF,2022-05-13 00:46:44
278,Georgetown,5.4112,100.3354,82.33,88,20,3.44,MY,2022-05-13 00:44:14
279,Sattenapalle,16.4,80.1833,80.13,86,56,2.77,IN,2022-05-13 00:46:44
280,Salym,60.0625,71.4789,52.25,83,8,2.82,RU,2022-05-13 00:46:45
281,Bengkulu,-3.8004,102.2655,77.45,84,73,3.2,ID,2022-05-13 00:46:46
282,Ciales,18.3361,-66.4688,79.48,90,99,6.24,PR,2022-05-13 00:46:46
283,Pingliang,35.5392,106.6861,49.21,66,100,7.29,CN,2022-05-13 00:46:47
284,Atar,20.5169,-13.0499,89.69,19,0,9.28,MR,2022-05-13 00:46:47
285,Korla,41.7597,86.1469,63.57,41,100,19.22,CN,2022-05-13 00:46:48
286,Los Algarrobos,8.5,-82.4333,79.21,87,40,2.3,PA,2022-05-13 00:46:48
287,Longyearbyen,78.2186,15.6401,8.89,89,40,7.0,SJ,2022-05-13 00:43:15
288,Pevek,69.7008,170.3133,27.68,80,100,15.23,RU,2022-05-13 00:46:49
289,Lake City,30.1897,-82.6393,74.91,78,100,0.0,US,2022-05-13 00:46:50
290,Kingaroy,-26.5333,151.8333,66.24,100,100,12.66,AU,2022-05-13 00:46:51
