City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
247,Joao Pinheiro,BR,58.06,clear sky,-17.7425,-46.1725,Hotel Santos
249,Urucara,BR,74.5,light rain,-2.5364,-57.76,Pousada Maria Bonita
251,Eidfjord,NO,45.57,few clouds,60.4675,7.0719,Vøringfoss Hotel
252,Ilulissat,GL,30.22,scattered clouds,69.2167,-51.1,Hotel Arctic
253,Nanortalik,GL,33.49,scattered clouds,60.1432,-45.2371,Hotel Kap Farvel
254,Abha,SA,62.42,clear sky,18.2164,42.5053,Abha Hotel
256,Hamilton,US,70.43,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
257,Port Lincoln,AU,61.43,few clouds,-34.7333,135.8667,Port Lincoln Hotel
258,Harnosand,SE,33.8,overcast clouds,62.6323,17.9379,First Hotel Stadt
259,Perth,AU,64.78,broken clouds,-31.9333,115.8333,Quest on Rheola
260,Kambove,CD,58.42,broken clouds,-10.8764,26.5969,Couvant des soeurs catholiques
261,Nemuro,JP,46.83,broken clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
262,Kariba,ZW,61.09,clear sky,-16.5167,28.8,Caribbea Bay Hotel
263,Tazovskiy,RU,35.76,overcast clouds,67.4667,78.7,TazHostel
264,Elliot Lake,CA,42.76,clear sky,46.3834,-82.6331,Paris Plaza
266,Ust-Kulom,RU,37.89,overcast clouds,61.6864,53.6902,Ip Napalkov Vasiliy Dmitriyevich
267,Mercedes,AR,51.78,overcast clouds,-34.6515,-59.4307,Posada del Inti Centro
269,Ardrishaig,GB,48.69,overcast clouds,56.0157,-5.4481,The Argyll Inn
271,Kalemie,CD,69.49,light rain,-5.9475,29.1947,Mahobilali
272,Colares,PT,65.34,overcast clouds,38.7992,-9.4469,Arribas Sintra Hotel
273,Birjand,IR,63.07,clear sky,32.8663,59.2211,Birjand Tourist Hotel
276,Nortelandia,BR,58.06,broken clouds,-14.4547,-56.8028,Hotel Karysmã
278,Fukue,JP,73.76,few clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
279,Otradnoye,RU,41.09,overcast clouds,59.7775,30.8181,Baza otdikha Petrushinsky Khutor
280,Rio Claro,BR,47.8,clear sky,-22.4114,-47.5614,Hotel Vivendas Rio Claro by Atlantica
281,Mweka,CD,67.62,overcast clouds,-4.85,21.5667,Guest House Boshab
282,Mehamn,NO,31.91,light snow,71.0357,27.8492,Mehamn Arctic Hotel AS
284,Taltal,CL,63.19,overcast clouds,-25.4,-70.4833,Residencial Karime
286,Honningsvag,NO,33.55,overcast clouds,70.9821,25.9704,Nordkapp Vandrerhjem
288,San Juan,AR,49.44,clear sky,-31.5375,-68.5364,Hotel Provincial
294,Nadym,RU,36.43,overcast clouds,65.5333,72.5167,Apartment on Zvereva
296,Banepa,NP,66.52,scattered clouds,27.6298,85.5214,Dhulikhel Lodge Resort
298,Lasa,IT,61.68,scattered clouds,46.6166,10.7002,Pension Feldgärtenhof
303,Xining,CN,59.76,overcast clouds,36.6167,101.7667,Super Leisure Hotel
304,Kapuskasing,CA,51.89,clear sky,49.4169,-82.4331,Park Inn Motel
306,Lata,PT,60.93,overcast clouds,40.1629,-8.3327,Casa Maquia
308,Norwich,GB,62.26,broken clouds,52.6278,1.2983,Holiday Inn Norwich City
309,Broome,US,53.65,clear sky,42.2506,-75.833,Chenango Valley State Park
310,Gravdal,NO,41.49,overcast clouds,68.1214,13.5031,Skreda Rorbusuiter
312,Cassilandia,BR,48.18,scattered clouds,-19.1133,-51.7342,Delirius Motel
313,Bardiyah,LY,68.54,clear sky,31.7561,25.0865,بورتو بردية
316,Hailar,CN,70.32,broken clouds,49.2,119.7,Holiday Inn & Suites Hulunbuir
319,Norman Wells,CA,57.24,broken clouds,65.282,-126.8329,Heritage Hotel
322,Eureka,US,58.35,overcast clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
323,Kalabo,ZM,59.56,broken clouds,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
324,Asosa,ET,64.96,few clouds,10.0667,34.5333,Blendana Hotel Assosa
325,Qaqortoq,GL,33.75,broken clouds,60.7167,-46.0333,Siniffik Inn
327,Abnub,EG,71.82,clear sky,27.2696,31.1511,مضيفت اولاد احمد ابو حسين
330,Margate,GB,60.69,scattered clouds,51.3813,1.3862,Premier Inn Margate hotel
331,Bonavista,CA,39.94,overcast clouds,48.6499,-53.1147,Sweet Sharons bnb
333,Filadelfia,US,73.29,few clouds,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
334,Terrace Bay,CA,37.56,overcast clouds,48.7834,-87.1,Drifters Motel & Restaurant
336,Te Anau,NZ,52.34,light rain,-45.4167,167.7167,Kingsgate Hotel Te Anau
339,Inhambane,MZ,71.01,overcast clouds,-23.865,35.3833,Oceano
341,Ngunguru,NZ,64.94,light rain,-35.6167,174.5,Pacific Rendezvous Motel Resort
342,Portland,US,66.52,overcast clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
343,Goderich,CA,46.72,clear sky,43.7501,-81.7165,Harmony Inn
349,Selenginsk,RU,61.21,overcast clouds,52.0064,106.8647,Selenga
351,Linqiong,CN,58.82,overcast clouds,30.4159,103.4609,Tianlun Tanxianglou Hotel
354,Veinticinco De Mayo,AR,49.98,broken clouds,-35.4323,-60.1727,Estancia La Rosada
355,Caratinga,BR,62.35,clear sky,-19.7897,-42.1392,Hotel Rota 116
356,Krasnoselkup,RU,49.59,overcast clouds,65.7,82.4667,Krasnosel'kupnefteprodukt
359,Ponta Delgada,PT,59.72,few clouds,37.7333,-25.6667,Vila Nova Hotel
362,Malanje,AO,59.9,broken clouds,-9.5402,16.341,Hotel Ginga
366,Darhan,MN,66.15,clear sky,49.4867,105.9228,Buudai Hotel
367,Petropavlovka,RU,68.2,few clouds,50.6114,105.3196,Tuyaa
368,Christchurch,NZ,67.41,overcast clouds,-43.5333,172.6333,The George
371,Roros,NO,36.34,clear sky,62.5747,11.3842,Erzscheidergården
373,Sioux Lookout,CA,55.47,broken clouds,50.1001,-91.917,Knobby's Fly-In Camps
374,Kaeo,NZ,68.32,light rain,-35.1,173.7833,Bushido Lodge
377,Necochea,AR,51.06,overcast clouds,-38.5473,-58.7368,dyd -mar Hotel
378,Quatre Cocos,MU,73.51,clear sky,-20.2078,57.7625,Sunrise Attitude Hotel
383,Nowy Dwor Gdanski,PL,36.21,clear sky,54.2131,19.1177,Ranczo Ryki
384,Severo-Kurilsk,RU,46.87,clear sky,50.6789,156.125,Kak Doma
386,Vestmannaeyjar,IS,48.72,overcast clouds,63.4427,-20.2734,Glamping & Camping
388,Calvinia,ZA,59.99,overcast clouds,-31.4707,19.776,Die Lemoenhuis
389,Kholmsk,RU,56.32,scattered clouds,47.0511,142.0569,GH Hotel
392,Lakes Entrance,AU,60.17,clear sky,-37.8811,147.981,The Esplanade Resort & Spa
393,Stromness,GB,51.76,light rain,58.965,-3.296,The Old Smokery
394,Mahebourg,MU,73.69,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
395,Strathmore,CA,51.35,overcast clouds,51.0501,-113.3852,Wheatland Hotel
399,Sicuani,PE,45.16,scattered clouds,-14.2694,-71.2261,Wilkamayu Hotel
400,Upington,ZA,59.38,clear sky,-28.4478,21.2561,River Place Manor
