City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
240,Saint Anthony,US,45.0205,-93.218,65.82,49,100,9.22,light rain
241,Komsomolskiy,UZ,40.4272,71.7189,72.32,49,96,2.3,overcast clouds
242,Xuanwu,CN,32.069,118.8138,78.75,33,100,7.49,overcast clouds
243,Avarua,CK,-21.2078,-159.775,80.65,78,75,6.91,broken clouds
244,Miles City,US,46.4083,-105.8406,70.77,30,0,11.5,clear sky
245,Vinh,VN,18.6667,105.6667,76.1,71,100,3.22,overcast clouds
246,La Union,PE,-5.4,-80.75,70.07,68,99,13.0,overcast clouds
247,Joao Pinheiro,BR,-17.7425,-46.1725,58.06,49,0,9.51,clear sky
248,Canton,CN,23.1167,113.25,76.95,58,17,4.43,few clouds
249,Urucara,BR,-2.5364,-57.76,74.5,99,100,2.15,light rain
250,Shubarshi,KZ,48.5872,57.1869,53.2,65,17,11.41,few clouds
251,Eidfjord,NO,60.4675,7.0719,45.57,78,12,7.29,few clouds
252,Ilulissat,GL,69.2167,-51.1,30.22,86,33,5.75,scattered clouds
253,Nanortalik,GL,60.1432,-45.2371,33.49,91,40,2.28,scattered clouds
254,Abha,SA,18.2164,42.5053,62.42,19,0,0.0,clear sky
255,Vihari,PK,30.0333,72.35,92.37,15,0,5.32,clear sky
256,Hamilton,US,39.1834,-84.5333,70.43,57,0,0.0,clear sky
257,Port Lincoln,AU,-34.7333,135.8667,61.43,58,24,8.81,few clouds
258,Harnosand,SE,62.6323,17.9379,33.8,58,85,6.67,overcast clouds
259,Perth,AU,-31.9333,115.8333,64.78,93,75,13.8,broken clouds
260,Kambove,CD,-10.8764,26.5969,58.42,77,83,5.97,broken clouds
261,Nemuro,JP,43.3236,145.575,46.83,93,56,17.83,broken clouds
262,Kariba,ZW,-16.5167,28.8,61.09,70,1,5.5,clear sky
263,Tazovskiy,RU,67.4667,78.7,35.76,82,100,14.61,overcast clouds
264,Elliot Lake,CA,46.3834,-82.6331,42.76,62,7,3.89,clear sky
265,Alofi,NU,-19.0595,-169.9187,78.69,73,75,16.11,broken clouds
266,Ust-Kulom,RU,61.6864,53.6902,37.89,66,100,7.34,overcast clouds
267,Mercedes,AR,-34.6515,-59.4307,51.78,57,92,16.84,overcast clouds
268,Cockburn Town,TC,21.4612,-71.1419,80.02,84,95,7.27,overcast clouds
269,Ardrishaig,GB,56.0157,-5.4481,48.69,93,93,6.6,overcast clouds
270,Novovarshavka,RU,54.1721,74.6946,63.66,48,99,7.45,overcast clouds
271,Kalemie,CD,-5.9475,29.1947,69.49,86,96,2.06,light rain
272,Colares,PT,38.7992,-9.4469,65.34,77,100,7.0,overcast clouds
273,Birjand,IR,32.8663,59.2211,63.07,16,0,11.5,clear sky
274,Yerbogachen,RU,61.2767,108.0108,64.29,44,100,5.55,overcast clouds
275,Sarangani,PH,5.4033,125.4636,83.17,77,81,14.45,broken clouds
276,Nortelandia,BR,-14.4547,-56.8028,58.06,46,64,4.34,broken clouds
277,Massakory,TD,12.996,15.7293,87.55,37,66,7.25,broken clouds
278,Fukue,JP,32.6881,128.8419,73.76,40,20,8.05,few clouds
279,Otradnoye,RU,59.7775,30.8181,41.09,86,100,4.25,overcast clouds
280,Rio Claro,BR,-22.4114,-47.5614,47.8,64,0,9.15,clear sky
281,Mweka,CD,-4.85,21.5667,67.62,92,97,1.48,overcast clouds
282,Mehamn,NO,71.0357,27.8492,31.91,80,100,21.59,light snow
283,Coffs Harbour,AU,-30.3,153.1333,75.13,64,100,8.05,overcast clouds
284,Taltal,CL,-25.4,-70.4833,63.19,63,98,4.27,overcast clouds
285,Laem Sing,TH,12.4816,102.0738,83.14,90,100,5.41,light rain
286,Honningsvag,NO,70.9821,25.9704,33.55,80,100,17.27,overcast clouds
287,Walvis Bay,NA,-22.9575,14.5053,66.09,45,1,4.61,clear sky
288,San Juan,AR,-31.5375,-68.5364,49.44,39,0,4.81,clear sky
289,Cayenne,GF,4.9333,-52.3333,78.1,1,75,2.3,broken clouds
290,Lukang,TW,24.0567,120.4352,77.05,68,100,14.47,overcast clouds
291,Garowe,SO,8.4054,48.4845,78.93,64,52,23.82,broken clouds
292,Mangan,IN,27.5167,88.5333,75.51,73,89,1.16,overcast clouds
293,Humberto De Campos,BR,-2.5983,-43.4611,76.48,93,41,3.78,scattered clouds
294,Nadym,RU,65.5333,72.5167,36.43,83,100,5.46,overcast clouds
295,Haian,CN,32.5436,120.45,80.74,33,3,9.26,clear sky
296,Banepa,NP,27.6298,85.5214,66.52,60,40,3.44,scattered clouds
297,Lorengau,PG,-2.0226,147.2712,85.86,66,8,9.33,clear sky
